# train_accs, valid_accs, test_accs, dt_accs, fidelities, depths, nodes, robust_score
9.239256381988525391e-01 9.323409795761108398e-01 9.281842708587646484e-01 8.199999999999999512e-01 7.981029810298102545e-01 5.000000000000000000e+00 1.300000000000000000e+01 8.108108108108108558e-01
8.426248431205749512e-01 8.511502146720886230e-01 8.252032399177551270e-01 7.700000000000000178e-01 8.970189701897018919e-01 1.200000000000000000e+01 8.300000000000000000e+01 7.477477477477477708e-01
9.265388846397399902e-01 9.431664347648620605e-01 9.051490426063537598e-01 7.600000000000000089e-01 7.669376693766937203e-01 6.000000000000000000e+00 1.900000000000000000e+01 6.846846846846846857e-01
9.291521310806274414e-01 9.336941838264465332e-01 9.024389982223510742e-01 7.600000000000000089e-01 8.238482384823848648e-01 9.000000000000000000e+00 3.500000000000000000e+01 7.972972972972972583e-01
9.186992049217224121e-01 9.215155839920043945e-01 9.308943152427673340e-01 7.700000000000000178e-01 8.455284552845528934e-01 1.000000000000000000e+01 3.300000000000000000e+01 7.747747747747747438e-01
8.333333134651184082e-01 8.294993042945861816e-01 8.468834757804870605e-01 7.700000000000000178e-01 9.254742547425474086e-01 1.200000000000000000e+01 1.250000000000000000e+02 7.522522522522522292e-01
9.329268336296081543e-01 9.282814860343933105e-01 9.119241237640380859e-01 7.900000000000000355e-01 8.184281842818428299e-01 6.000000000000000000e+00 2.300000000000000000e+01 7.702702702702702853e-01
9.230545759201049805e-01 9.188091754913330078e-01 9.092140793800354004e-01 7.800000000000000266e-01 8.089430894308943243e-01 4.000000000000000000e+00 1.500000000000000000e+01 7.207207207207206867e-01
9.088269472122192383e-01 9.201623797416687012e-01 8.888888955116271973e-01 7.700000000000000178e-01 8.373983739837398410e-01 7.000000000000000000e+00 3.700000000000000000e+01 7.657657657657657158e-01
9.274100065231323242e-01 9.201623797416687012e-01 9.403793811798095703e-01 7.700000000000000178e-01 8.373983739837398410e-01 9.000000000000000000e+00 2.500000000000000000e+01 7.477477477477477708e-01
9.265388846397399902e-01 9.296346306800842285e-01 9.349593520164489746e-01 7.500000000000000000e-01 8.035230352303522894e-01 6.000000000000000000e+00 2.100000000000000000e+01 7.792792792792793133e-01
9.210220575332641602e-01 9.336941838264465332e-01 9.403793811798095703e-01 7.700000000000000178e-01 8.197831978319782831e-01 6.000000000000000000e+00 2.100000000000000000e+01 7.702702702702702853e-01
8.298490047454833984e-01 8.362652063369750977e-01 8.075881004333496094e-01 8.000000000000000444e-01 8.441734417344173291e-01 9.000000000000000000e+00 3.300000000000000000e+01 8.153153153153153143e-01
9.224738478660583496e-01 9.133964776992797852e-01 9.078590869903564453e-01 7.800000000000000266e-01 8.062330623306233068e-01 5.000000000000000000e+00 1.700000000000000000e+01 6.666666666666666297e-01
9.105691313743591309e-01 9.215155839920043945e-01 9.241192340850830078e-01 8.100000000000000533e-01 8.184281842818428299e-01 4.000000000000000000e+00 1.100000000000000000e+01 7.927927927927927998e-01
9.137630462646484375e-01 9.066305756568908691e-01 9.268292784690856934e-01 7.900000000000000355e-01 8.075880758807587601e-01 4.000000000000000000e+00 1.100000000000000000e+01 7.252252252252252562e-01
9.239256381988525391e-01 9.309878349304199219e-01 9.308943152427673340e-01 7.900000000000000355e-01 8.726287262872628459e-01 1.100000000000000000e+01 6.500000000000000000e+01 7.387387387387387427e-01
9.140534400939941406e-01 9.201623797416687012e-01 9.092140793800354004e-01 7.700000000000000178e-01 8.929539295392954212e-01 1.500000000000000000e+01 8.100000000000000000e+01 7.432432432432432012e-01
8.916956782341003418e-01 8.822733163833618164e-01 9.200541973114013672e-01 7.700000000000000178e-01 8.550135501355013989e-01 1.000000000000000000e+01 3.900000000000000000e+01 7.432432432432432012e-01
9.157955646514892578e-01 9.201623797416687012e-01 9.065040946006774902e-01 8.199999999999999512e-01 8.035230352303522894e-01 3.000000000000000000e+00 7.000000000000000000e+00 8.378378378378378288e-01
9.140534400939941406e-01 9.133964776992797852e-01 9.159891605377197266e-01 8.100000000000000533e-01 8.523035230352303815e-01 1.000000000000000000e+01 3.500000000000000000e+01 7.207207207207206867e-01
9.358304142951965332e-01 9.296346306800842285e-01 9.227642416954040527e-01 7.800000000000000266e-01 8.008130081300812719e-01 8.000000000000000000e+00 1.900000000000000000e+01 7.837837837837837718e-01
9.157955646514892578e-01 9.161028265953063965e-01 9.105691313743591309e-01 8.299999999999999600e-01 8.116531165311653417e-01 6.000000000000000000e+00 1.500000000000000000e+01 8.108108108108108558e-01
9.169570207595825195e-01 9.106901288032531738e-01 9.105691313743591309e-01 7.500000000000000000e-01 7.831978319783198250e-01 3.000000000000000000e+00 7.000000000000000000e+00 7.522522522522522292e-01
