# train_accs, valid_accs, test_accs, dt_accs, fidelities, depths, nodes, robust_score
9.854819774627685547e-01 9.309878349304199219e-01 9.268292784690856934e-01 8.199999999999999512e-01 8.387533875338752942e-01 6.000000000000000000e+00 2.900000000000000000e+01 7.927927927927927998e-01
9.970964193344116211e-01 9.377537369728088379e-01 9.295393228530883789e-01 7.900000000000000355e-01 9.349593495934959142e-01 1.500000000000000000e+01 1.710000000000000000e+02 6.846846846846846857e-01
9.515098929405212402e-01 8.822733163833618164e-01 8.577235937118530273e-01 7.399999999999999911e-01 8.224932249322493005e-01 8.000000000000000000e+00 4.100000000000000000e+01 6.846846846846846857e-01
9.909988641738891602e-01 9.309878349304199219e-01 9.295393228530883789e-01 7.900000000000000355e-01 8.143631436314363592e-01 7.000000000000000000e+00 2.300000000000000000e+01 7.117117117117116587e-01
9.860627055168151855e-01 9.201623797416687012e-01 9.322493076324462891e-01 7.900000000000000355e-01 8.265582655826557712e-01 4.000000000000000000e+00 1.500000000000000000e+01 8.018018018018018278e-01
9.878048896789550781e-01 9.282814860343933105e-01 9.268292784690856934e-01 7.900000000000000355e-01 8.102981029810297775e-01 5.000000000000000000e+00 1.300000000000000000e+01 8.378378378378378288e-01
9.883856177330017090e-01 9.282814860343933105e-01 9.214091897010803223e-01 8.000000000000000444e-01 9.010840108401083626e-01 1.400000000000000000e+01 1.030000000000000000e+02 7.342342342342342842e-01
9.962252974510192871e-01 9.323409795761108398e-01 9.308943152427673340e-01 7.500000000000000000e-01 9.254742547425474086e-01 1.500000000000000000e+01 1.650000000000000000e+02 7.522522522522522292e-01
9.944831728935241699e-01 9.404600858688354492e-01 9.105691313743591309e-01 7.700000000000000178e-01 9.214092140921409380e-01 1.500000000000000000e+01 1.510000000000000000e+02 7.342342342342342842e-01
9.297328591346740723e-01 8.958051204681396484e-01 8.943089246749877930e-01 8.199999999999999512e-01 8.482384823848237998e-01 5.000000000000000000e+00 1.700000000000000000e+01 8.648648648648649129e-01
9.930313825607299805e-01 9.364005327224731445e-01 9.322493076324462891e-01 7.700000000000000178e-01 7.818428184281842608e-01 3.000000000000000000e+00 9.000000000000000000e+00 7.657657657657657158e-01
9.869338274002075195e-01 9.336941838264465332e-01 9.430894255638122559e-01 8.399999999999999689e-01 8.685636856368563752e-01 8.000000000000000000e+00 2.500000000000000000e+01 7.567567567567567988e-01
9.732868671417236328e-01 9.255750775337219238e-01 9.227642416954040527e-01 8.199999999999999512e-01 8.428184281842818759e-01 1.000000000000000000e+01 4.500000000000000000e+01 7.612612612612612573e-01
9.886759519577026367e-01 9.133964776992797852e-01 9.227642416954040527e-01 7.900000000000000355e-01 8.319783197831978061e-01 1.100000000000000000e+01 3.500000000000000000e+01 7.477477477477477708e-01
9.968060255050659180e-01 9.391068816184997559e-01 9.363143444061279297e-01 7.900000000000000355e-01 8.536585365853658347e-01 9.000000000000000000e+00 3.900000000000000000e+01 7.522522522522522292e-01
9.523809552192687988e-01 8.876860737800598145e-01 9.241192340850830078e-01 7.900000000000000355e-01 8.089430894308943243e-01 5.000000000000000000e+00 1.500000000000000000e+01 8.063063063063062863e-01
9.788036942481994629e-01 9.391068816184997559e-01 9.308943152427673340e-01 8.000000000000000444e-01 8.008130081300812719e-01 6.000000000000000000e+00 1.500000000000000000e+01 7.072072072072072002e-01
9.201509952545166016e-01 8.606224656105041504e-01 8.672086596488952637e-01 8.000000000000000444e-01 8.360433604336043878e-01 8.000000000000000000e+00 2.300000000000000000e+01 7.567567567567567988e-01
9.448316097259521484e-01 8.903924226760864258e-01 9.051490426063537598e-01 7.700000000000000178e-01 9.092140921409214149e-01 1.400000000000000000e+01 1.190000000000000000e+02 7.567567567567567988e-01
9.605110287666320801e-01 9.174560308456420898e-01 9.146341681480407715e-01 8.100000000000000533e-01 8.766937669376694275e-01 1.100000000000000000e+01 6.500000000000000000e+01 8.198198198198197728e-01
9.773519039154052734e-01 9.215155839920043945e-01 9.281842708587646484e-01 7.399999999999999911e-01 7.981029810298102545e-01 7.000000000000000000e+00 2.700000000000000000e+01 7.477477477477477708e-01
8.707897663116455078e-01 8.565629124641418457e-01 8.523035049438476562e-01 8.299999999999999600e-01 8.482384823848237998e-01 4.000000000000000000e+00 1.100000000000000000e+01 8.828828828828828579e-01
9.814169406890869141e-01 9.120432734489440918e-01 9.146341681480407715e-01 8.000000000000000444e-01 8.536585365853658347e-01 7.000000000000000000e+00 3.500000000000000000e+01 8.333333333333333703e-01
9.880952239036560059e-01 9.404600858688354492e-01 9.390243887901306152e-01 7.500000000000000000e-01 8.292682926829267887e-01 9.000000000000000000e+00 2.900000000000000000e+01 7.387387387387387427e-01
9.918699264526367188e-01 9.377537369728088379e-01 9.457994699478149414e-01 8.000000000000000444e-01 8.360433604336043878e-01 6.000000000000000000e+00 2.100000000000000000e+01 8.153153153153153143e-01
9.849012494087219238e-01 9.039242267608642578e-01 9.322493076324462891e-01 8.100000000000000533e-01 7.926829268292683306e-01 3.000000000000000000e+00 9.000000000000000000e+00 7.792792792792793133e-01
9.956446290016174316e-01 9.472259879112243652e-01 9.254742264747619629e-01 7.700000000000000178e-01 7.953929539295393480e-01 6.000000000000000000e+00 1.700000000000000000e+01 7.477477477477477708e-01
9.886759519577026367e-01 9.404600858688354492e-01 9.308943152427673340e-01 7.900000000000000355e-01 8.292682926829267887e-01 1.100000000000000000e+01 5.100000000000000000e+01 7.792792792792793133e-01
9.216027855873107910e-01 8.944519758224487305e-01 9.092140793800354004e-01 8.199999999999999512e-01 8.875338753387533863e-01 1.300000000000000000e+01 6.500000000000000000e+01 8.558558558558558849e-01
