# train_accs, valid_accs, test_accs, dt_accs, fidelities, depths, nodes, robust_score
8.775706887245178223e-01 8.725637197494506836e-01 8.860569596290588379e-01 8.399999999999999689e-01 8.365817091454272880e-01 5.000000000000000000e+00 1.500000000000000000e+01 8.358208955223880299e-01
9.106683731079101562e-01 8.995501995086669922e-01 8.860569596290588379e-01 8.000000000000000444e-01 7.946026986506746770e-01 3.000000000000000000e+00 7.000000000000000000e+00 7.761194029850746468e-01
8.971722126007080078e-01 8.920539617538452148e-01 9.085457324981689453e-01 7.099999999999999645e-01 8.635682158920540141e-01 9.000000000000000000e+00 5.900000000000000000e+01 6.915422885572138911e-01
8.653599023818969727e-01 8.770614862442016602e-01 8.845577239990234375e-01 8.100000000000000533e-01 8.365817091454272880e-01 8.000000000000000000e+00 2.300000000000000000e+01 7.910447761194029370e-01
9.019922614097595215e-01 9.010494947433471680e-01 8.935531973838806152e-01 8.199999999999999512e-01 8.905547226386806292e-01 9.000000000000000000e+00 4.300000000000000000e+01 7.462686567164179552e-01
9.016709327697753906e-01 9.010494947433471680e-01 8.875561952590942383e-01 7.600000000000000089e-01 8.215892053973014031e-01 5.000000000000000000e+00 1.900000000000000000e+01 7.711442786069652167e-01
8.274421691894531250e-01 8.275862336158752441e-01 8.335832357406616211e-01 8.800000000000000044e-01 9.625187406296851211e-01 1.400000000000000000e+01 1.130000000000000000e+02 8.756218905472636926e-01
8.290488719940185547e-01 8.410794734954833984e-01 8.125936985015869141e-01 8.800000000000000044e-01 8.800599700149924765e-01 2.000000000000000000e+00 5.000000000000000000e+00 9.452736318407960470e-01
8.984575867652893066e-01 8.800599575042724609e-01 8.980509638786315918e-01 8.399999999999999689e-01 8.815592203898050538e-01 8.000000000000000000e+00 3.500000000000000000e+01 7.661691542288556755e-01
8.367609381675720215e-01 8.710644841194152832e-01 8.500749468803405762e-01 8.199999999999999512e-01 8.740629685157421669e-01 8.000000000000000000e+00 2.100000000000000000e+01 8.358208955223880299e-01
8.248714804649353027e-01 7.991004586219787598e-01 8.320839405059814453e-01 8.800000000000000044e-01 8.725637181409295895e-01 4.000000000000000000e+00 1.100000000000000000e+01 9.004975124378109541e-01
9.007069468498229980e-01 9.085457324981689453e-01 9.040479660034179688e-01 8.199999999999999512e-01 8.200899550224887147e-01 5.000000000000000000e+00 1.300000000000000000e+01 8.009950248756219082e-01
8.884961605072021484e-01 8.875561952590942383e-01 8.845577239990234375e-01 8.199999999999999512e-01 8.605697151424287483e-01 8.000000000000000000e+00 4.100000000000000000e+01 7.810945273631840768e-01
8.994215726852416992e-01 8.860569596290588379e-01 9.160419702529907227e-01 7.700000000000000178e-01 8.515742128935531730e-01 1.000000000000000000e+01 3.300000000000000000e+01 7.363184079601989840e-01
8.981362581253051758e-01 9.100449681282043457e-01 8.980509638786315918e-01 8.599999999999999867e-01 8.575712143928035935e-01 5.000000000000000000e+00 1.900000000000000000e+01 7.313432835820895539e-01
8.949228525161743164e-01 8.875561952590942383e-01 8.695651888847351074e-01 7.800000000000000266e-01 8.620689655172413257e-01 9.000000000000000000e+00 5.100000000000000000e+01 7.562189054726368154e-01
8.624678850173950195e-01 8.635681867599487305e-01 8.620689511299133301e-01 8.399999999999999689e-01 8.650674662668665915e-01 6.000000000000000000e+00 1.900000000000000000e+01 8.407960199004974600e-01
8.566837906837463379e-01 8.590704798698425293e-01 8.620689511299133301e-01 8.299999999999999600e-01 8.155922038980509825e-01 3.000000000000000000e+00 7.000000000000000000e+00 8.358208955223880299e-01
8.881748318672180176e-01 9.025487303733825684e-01 8.695651888847351074e-01 7.900000000000000355e-01 8.515742128935531730e-01 5.000000000000000000e+00 2.100000000000000000e+01 7.611940298507462455e-01
