# train_accs, valid_accs, test_accs, dt_accs, fidelities, depths, nodes, robust_score
9.305912852287292480e-01 8.515742421150207520e-01 8.830584883689880371e-01 8.299999999999999600e-01 8.635682158920540141e-01 9.000000000000000000e+00 3.300000000000000000e+01 8.009950248756219082e-01
9.309126138687133789e-01 8.605697154998779297e-01 8.575711846351623535e-01 7.900000000000000355e-01 8.620689655172413257e-01 9.000000000000000000e+00 4.500000000000000000e+01 7.114427860696517225e-01
9.967866539955139160e-01 8.965517282485961914e-01 8.935531973838806152e-01 7.800000000000000266e-01 9.295352323838080855e-01 1.200000000000000000e+01 1.190000000000000000e+02 7.213930348258706937e-01
9.730077385902404785e-01 8.800599575042724609e-01 8.800599575042724609e-01 8.100000000000000533e-01 9.085457271364317799e-01 1.600000000000000000e+01 8.300000000000000000e+01 7.562189054726368154e-01
9.636889696121215820e-01 8.785607218742370605e-01 8.875561952590942383e-01 8.599999999999999867e-01 8.320839580209895558e-01 2.000000000000000000e+00 5.000000000000000000e+00 9.253731343283582156e-01
9.746143817901611328e-01 8.920539617538452148e-01 8.830584883689880371e-01 8.100000000000000533e-01 8.935532233883058950e-01 1.100000000000000000e+01 7.100000000000000000e+01 7.810945273631840768e-01
9.347686171531677246e-01 8.470764756202697754e-01 8.575711846351623535e-01 8.100000000000000533e-01 8.305847076461768674e-01 5.000000000000000000e+00 1.700000000000000000e+01 7.860696517412935069e-01
9.829691648483276367e-01 9.130434989929199219e-01 8.980509638786315918e-01 7.500000000000000000e-01 8.635682158920540141e-01 1.000000000000000000e+01 4.700000000000000000e+01 6.865671641791044610e-01
9.694730043411254883e-01 8.575711846351623535e-01 8.785607218742370605e-01 7.900000000000000355e-01 7.961019490254872544e-01 1.000000000000000000e+00 3.000000000000000000e+00 8.805970149253731227e-01
9.797557592391967773e-01 8.920539617538452148e-01 9.025487303733825684e-01 8.000000000000000444e-01 8.350824587706147106e-01 7.000000000000000000e+00 2.500000000000000000e+01 7.412935323383084141e-01
9.685090184211730957e-01 8.605697154998779297e-01 8.875561952590942383e-01 8.499999999999999778e-01 8.095952023988005619e-01 3.000000000000000000e+00 7.000000000000000000e+00 8.159203980099501985e-01
9.633675813674926758e-01 8.680659532546997070e-01 8.740629553794860840e-01 8.100000000000000533e-01 8.485757121439280182e-01 6.000000000000000000e+00 2.100000000000000000e+01 8.407960199004974600e-01
9.871465563774108887e-01 8.965517282485961914e-01 8.800599575042724609e-01 8.199999999999999512e-01 7.901049475262368338e-01 2.000000000000000000e+00 5.000000000000000000e+00 8.059701492537313383e-01
9.691516757011413574e-01 8.815591931343078613e-01 8.935531973838806152e-01 7.399999999999999911e-01 7.946026986506746770e-01 5.000000000000000000e+00 1.500000000000000000e+01 6.965174129353234322e-01
9.164524674415588379e-01 8.620689511299133301e-01 8.350824713706970215e-01 8.499999999999999778e-01 8.605697151424287483e-01 4.000000000000000000e+00 1.700000000000000000e+01 7.860696517412935069e-01
8.412596583366394043e-01 7.976012229919433594e-01 7.856072187423706055e-01 7.900000000000000355e-01 8.365817091454272880e-01 8.000000000000000000e+00 2.300000000000000000e+01 7.860696517412935069e-01
9.922879338264465332e-01 8.845577239990234375e-01 8.920539617538452148e-01 7.600000000000000089e-01 8.200899550224887147e-01 7.000000000000000000e+00 2.500000000000000000e+01 7.363184079601989840e-01
9.434447288513183594e-01 8.650674819946289062e-01 8.500749468803405762e-01 7.900000000000000355e-01 7.946026986506746770e-01 3.000000000000000000e+00 7.000000000000000000e+00 8.557213930348258613e-01
9.791131019592285156e-01 8.905547261238098145e-01 8.920539617538452148e-01 7.700000000000000178e-01 8.575712143928035935e-01 8.000000000000000000e+00 3.700000000000000000e+01 7.512437810945273853e-01
9.932519197463989258e-01 9.025487303733825684e-01 8.875561952590942383e-01 8.199999999999999512e-01 8.845577211394303196e-01 1.100000000000000000e+01 4.900000000000000000e+01 7.711442786069652167e-01
9.784704446792602539e-01 8.905547261238098145e-01 9.055472016334533691e-01 7.700000000000000178e-01 8.740629685157421669e-01 1.200000000000000000e+01 6.500000000000000000e+01 7.462686567164179552e-01
9.392673373222351074e-01 8.365817070007324219e-01 8.335832357406616211e-01 8.100000000000000533e-01 8.455772113943028634e-01 6.000000000000000000e+00 1.700000000000000000e+01 7.412935323383084141e-01
9.167737960815429688e-01 8.530734777450561523e-01 8.440779447555541992e-01 7.600000000000000089e-01 7.811094452773613694e-01 4.000000000000000000e+00 9.000000000000000000e+00 6.915422885572138911e-01
8.807840347290039062e-01 8.260869383811950684e-01 8.215892314910888672e-01 8.900000000000000133e-01 8.935532233883058950e-01 6.000000000000000000e+00 2.300000000000000000e+01 9.253731343283582156e-01
9.778277873992919922e-01 8.695651888847351074e-01 8.695651888847351074e-01 8.100000000000000533e-01 8.830584707646177423e-01 1.100000000000000000e+01 5.300000000000000000e+01 8.009950248756219082e-01
9.726863503456115723e-01 8.860569596290588379e-01 8.815591931343078613e-01 8.000000000000000444e-01 8.065967016491754071e-01 6.000000000000000000e+00 2.500000000000000000e+01 7.711442786069652167e-01
9.858611822128295898e-01 9.025487303733825684e-01 9.085457324981689453e-01 7.600000000000000089e-01 8.545727136431784388e-01 9.000000000000000000e+00 3.500000000000000000e+01 7.462686567164179552e-01
9.910025596618652344e-01 8.845577239990234375e-01 8.950524926185607910e-01 8.599999999999999867e-01 8.260869565217391353e-01 3.000000000000000000e+00 7.000000000000000000e+00 7.661691542288556755e-01
9.148457646369934082e-01 8.455772399902343750e-01 8.260869383811950684e-01 8.199999999999999512e-01 8.245877061469265579e-01 3.000000000000000000e+00 9.000000000000000000e+00 8.955223880597015240e-01
9.865038394927978516e-01 8.965517282485961914e-01 8.650674819946289062e-01 7.700000000000000178e-01 8.065967016491754071e-01 6.000000000000000000e+00 1.900000000000000000e+01 7.263681592039801238e-01
9.794344305992126465e-01 8.920539617538452148e-01 8.995501995086669922e-01 7.700000000000000178e-01 8.365817091454272880e-01 6.000000000000000000e+00 2.100000000000000000e+01 7.761194029850746468e-01
9.919666051864624023e-01 9.025487303733825684e-01 8.830584883689880371e-01 8.000000000000000444e-01 8.710644677661169011e-01 1.000000000000000000e+01 4.300000000000000000e+01 7.114427860696517225e-01
